item,geo,beds,state,label
http://www.wikidata.org/entity/Q4680327,Point(-83.5346 38.7945),25,http://www.wikidata.org/entity/Q1397,Adams County Hospital
http://www.wikidata.org/entity/Q4686885,Point(-88.0078 41.8186),333,http://www.wikidata.org/entity/Q1204,Advocate Good Samaritan Hospital
http://www.wikidata.org/entity/Q4686887,Point(-87.8473 42.0388),645,http://www.wikidata.org/entity/Q108418,Advocate Lutheran General Hospital
http://www.wikidata.org/entity/Q4705871,Point(-122.254 37.7628),161,http://www.wikidata.org/entity/Q107146,Alameda Hospital
http://www.wikidata.org/entity/Q4709668,Point(-84.5084 38.0316),945,http://www.wikidata.org/entity/Q1603,Albert B. Chandler Hospital
http://www.wikidata.org/entity/Q4710134,Point(-75.1427 40.0357),701,http://www.wikidata.org/entity/Q1400,Albert Einstein Medical Center
http://www.wikidata.org/entity/Q4722906,Point(-75.5554 39.7822),195,http://www.wikidata.org/entity/Q1393,Alfred I. duPont Hospital for Children
http://www.wikidata.org/entity/Q4731305,Point(-80.0033 40.4567),576,http://www.wikidata.org/entity/Q1342,Allegheny General Hospital
http://www.wikidata.org/entity/Q4731372,Point(-84.3942 42.2505),475,http://www.wikidata.org/entity/Q1166,Henry Ford Allegiance Health
http://www.wikidata.org/entity/Q4731687,Point(-92.339 42.527),204,http://www.wikidata.org/entity/Q1546,UnityPoint Health - Allen Hospital
http://www.wikidata.org/entity/Q4732077,Point(-75.43 40.615),210,http://www.wikidata.org/entity/Q1400,Allentown State Hospital
http://www.wikidata.org/entity/Q4749692,Point(-82.646 34.511),461,http://www.wikidata.org/entity/Q1456,AnMed Health Medical Center
http://www.wikidata.org/entity/Q4749693,Point(-82.628 34.545),72,http://www.wikidata.org/entity/Q1456,AnMed Health Women's & Children's Hospital
http://www.wikidata.org/entity/Q4750890,Point(-117.934 33.8482),223,http://www.wikidata.org/entity/Q99,Anaheim Regional Medical Center
http://www.wikidata.org/entity/Q4753105,Point(-74.8494 39.6883),532,http://www.wikidata.org/entity/Q1408,Ancora Psychiatric Hospital
http://www.wikidata.org/entity/Q4768132,Point(-76.5361 38.9912),385,http://www.wikidata.org/entity/Q1391,Anne Arundel Medical Center
http://www.wikidata.org/entity/Q4769406,Point(-79.6675 36.3535),110,http://www.wikidata.org/entity/Q1454,Annie Penn Hospital
http://www.wikidata.org/entity/Q4771202,Point(-118.157914 34.687851),420,http://www.wikidata.org/entity/Q494711,Antelope Valley Hospital
http://www.wikidata.org/entity/Q4791755,Point(-92.2915 34.7433),370,http://www.wikidata.org/entity/Q1612,Arkansas Children's Hospital
http://www.wikidata.org/entity/Q4792363,Point(-97.115954 32.749267),369,http://www.wikidata.org/entity/Q17943,Arlington Memorial Hospital
http://www.wikidata.org/entity/Q4795196,Point(-81.3793 28.5234),158,http://www.wikidata.org/entity/Q49233,Arnold Palmer Hospital for Children
http://www.wikidata.org/entity/Q4796185,Point(-117.351 34.0739),456,http://www.wikidata.org/entity/Q108053,Arrowhead Regional Medical Center
http://www.wikidata.org/entity/Q4796234,Point(-120.59084 35.11345),67,http://www.wikidata.org/entity/Q703206,Arroyo Grande Community Hospital
http://www.wikidata.org/entity/Q4805235,Point(-122.725 42.2063),49,http://www.wikidata.org/entity/Q824,Ashland Community Hospital
http://www.wikidata.org/entity/Q4812857,Point(-120.635 35.4636),1239,http://www.wikidata.org/entity/Q99,Atascadero State Hospital
http://www.wikidata.org/entity/Q4816110,Point(-84.3728 33.7627),460,http://www.wikidata.org/entity/Q1428,Atlanta Medical Center
http://www.wikidata.org/entity/Q4816235,Point(-74.4347 39.3582),267,http://www.wikidata.org/entity/Q139564,AtlantiCare Regional Medical Center City Division
http://www.wikidata.org/entity/Q4816236,Point(-74.54 39.479),323,http://www.wikidata.org/entity/Q1408,AtlantiCare Regional Medical Center Mainland Division
http://www.wikidata.org/entity/Q4816442,Point(-75.2111 38.3386),45,http://www.wikidata.org/entity/Q1391,Atlantic General Hospital
http://www.wikidata.org/entity/Q4820929,Point(-78.9861 38.0946),255,http://www.wikidata.org/entity/Q1370,Augusta Health
http://www.wikidata.org/entity/Q4822870,Point(-73.3133 42.2831),74,http://www.wikidata.org/entity/Q222705,Austen Riggs Center
http://www.wikidata.org/entity/Q4838715,Point(-74.5403 39.4786),79,http://www.wikidata.org/entity/Q1408,Bacharach Institute for Rehabilitation
http://www.wikidata.org/entity/Q4849299,Point(-119.04 35.3842),47,http://www.wikidata.org/entity/Q99,Bakersfield Heart Hospital
http://www.wikidata.org/entity/Q4852940,Point(-76.6222 39.1389),272,http://www.wikidata.org/entity/Q1391,Baltimore Washington Medical Center
http://www.wikidata.org/entity/Q6873343,Point(-71.397662 41.852337),247,http://www.wikidata.org/entity/Q18383,Miriam Hospital
http://www.wikidata.org/entity/Q6875259,Point(-95.3974 29.7151),172,http://www.wikidata.org/entity/Q1439,Mischer Neuroscience Institute
http://www.wikidata.org/entity/Q6901093,Point(-73.9857 40.2957),513,http://www.wikidata.org/entity/Q1408,Monmouth Medical Center
http://www.wikidata.org/entity/Q6902127,Point(-86.8025 36.1393),267,http://www.wikidata.org/entity/Q23197,Monroe Carell Jr. Children's Hospital at Vanderbilt
http://www.wikidata.org/entity/Q6904602,Point(-117.696 34.079),102,http://www.wikidata.org/entity/Q853691,Montclair Hospital Medical Center
http://www.wikidata.org/entity/Q6905066,Point(-73.879075 40.880375),1490,http://www.wikidata.org/entity/Q11299,Montefiore Medical Center
http://www.wikidata.org/entity/Q6914881,Point(-71.095 41.9057),152,http://www.wikidata.org/entity/Q771,Morton Hospital and Medical Center
http://www.wikidata.org/entity/Q6914881,Point(-71.094722222 41.905713888),152,http://www.wikidata.org/entity/Q771,Morton Hospital and Medical Center
http://www.wikidata.org/entity/Q6914933,Point(-82.7144 28.2542),154,http://www.wikidata.org/entity/Q812,Morton Plant North Bay Hospital
http://www.wikidata.org/entity/Q6922429,Point(-77.8425 40.819),260,http://www.wikidata.org/entity/Q1187041,Mount Nittany Medical Center
http://www.wikidata.org/entity/Q6923674,Point(-87.6945 41.86108333),319,http://www.wikidata.org/entity/Q1297,Mount Sinai Medical Center
http://www.wikidata.org/entity/Q6925375,Point(-115.24888889 36.21527778),340,http://www.wikidata.org/entity/Q1227,"Mountain View Hospital, Las Vegas"
http://www.wikidata.org/entity/Q6925719,Point(-74.204 40.812),365,http://www.wikidata.org/entity/Q1408,Mountainside Hospital
http://www.wikidata.org/entity/Q6930357,Point(-76.6544 39.3618),102,http://www.wikidata.org/entity/Q5092,Mt. Washington Pediatric Hospital
http://www.wikidata.org/entity/Q6933040,Point(-74.403 40.607),355,http://www.wikidata.org/entity/Q1408,Muhlenberg Regional Medical Center
http://www.wikidata.org/entity/Q6934524,Point(-122.452 47.2592),82,http://www.wikidata.org/entity/Q1223,MultiCare Mary Bridge Children's Hospital & Health Center
http://www.wikidata.org/entity/Q6934525,Point(-122.453 47.2593),437,http://www.wikidata.org/entity/Q1223,MultiCare Tacoma General Hospital
http://www.wikidata.org/entity/Q6936845,Point(-82.1384 29.1751),421,http://www.wikidata.org/entity/Q812,Munroe Regional Medical Center
http://www.wikidata.org/entity/Q6936903,Point(-85.642 44.7608),391,http://www.wikidata.org/entity/Q1166,Munson Medical Center
http://www.wikidata.org/entity/Q6939005,Point(-83.9667 35.0728),57,http://www.wikidata.org/entity/Q1454,Murphy Medical Center
http://www.wikidata.org/entity/Q6953392,Point(-90.6663 35.8083),181,http://www.wikidata.org/entity/Q61455,NEA Baptist Memorial Hospital
http://www.wikidata.org/entity/Q6956114,Point(-73.974033 40.741969),1069,http://www.wikidata.org/entity/Q11299,NYU Langone Medical Center
http://www.wikidata.org/entity/Q6967586,Point(-73.554883 40.726106),631,http://www.wikidata.org/entity/Q1384,Nassau University Medical Center
http://www.wikidata.org/entity/Q1808012,Point(-73.9568 40.7641),471,http://www.wikidata.org/entity/Q11299,Memorial Sloan Kettering Cancer Center
http://www.wikidata.org/entity/Q1868429,Point(-86.179167 39.776806),379,http://www.wikidata.org/entity/Q6346,James Whitcomb Riley Hospital for Children
http://www.wikidata.org/entity/Q2078787,Point(-71.3417 42.6477),445,http://www.wikidata.org/entity/Q54073,Lowell General Hospital
http://www.wikidata.org/entity/Q2169282,Point(-118.446 34.0664),520,http://www.wikidata.org/entity/Q65,Ronald Reagan UCLA Medical Center
http://www.wikidata.org/entity/Q2311793,Point(-86.1775 39.7794),315,http://www.wikidata.org/entity/Q1415,Sidney and Lois Eskenazi Hospital
http://www.wikidata.org/entity/Q2318222,Point(-72.6983 41.7764),617,http://www.wikidata.org/entity/Q779,Saint Francis Hospital & Medical Center
http://www.wikidata.org/entity/Q5591536,Point(-73.9529 40.7698),157,http://www.wikidata.org/entity/Q11299,Gracie Square Hospital
http://www.wikidata.org/entity/Q5592012,Point(-75.1731 39.9445),95,http://www.wikidata.org/entity/Q1400,Graduate Hospital
http://www.wikidata.org/entity/Q5592136,Point(-84.380833 33.753333),961,http://www.wikidata.org/entity/Q23556,Grady Memorial Hospital
http://www.wikidata.org/entity/Q5595360,Point(-118.10561 45.31967),25,http://www.wikidata.org/entity/Q1645049,Grande Ronde Hospital
http://www.wikidata.org/entity/Q5595580,Point(-84.2028 39.76988),317,http://www.wikidata.org/entity/Q34739,Grandview Medical Center
http://www.wikidata.org/entity/Q5600442,Point(-76.6194 39.3899),231,http://www.wikidata.org/entity/Q488668,Greater Baltimore Medical Center
http://www.wikidata.org/entity/Q5619274,Point(-111.816389 39.156111),24,http://www.wikidata.org/entity/Q201769,Gunnison Valley Hospital
http://www.wikidata.org/entity/Q5637237,Point(-74.0575 40.8842),770,http://www.wikidata.org/entity/Q138458,Hackensack University Medical Center
http://www.wikidata.org/entity/Q5654758,Point(-122.324 47.604),413,http://www.wikidata.org/entity/Q1223,Harborview Medical Center
http://www.wikidata.org/entity/Q5672131,Point(-92.3289 38.9367),123,http://www.wikidata.org/entity/Q59670,Harry S. Truman Memorial Veterans' Hospital
http://www.wikidata.org/entity/Q5725649,Point(-118.553 34.3978),238,http://www.wikidata.org/entity/Q104994,Henry Mayo Newhall Memorial Hospital
http://www.wikidata.org/entity/Q5738891,Point(-77.5555 35.9214),101,http://www.wikidata.org/entity/Q1454,Heritage Hospital
http://www.wikidata.org/entity/Q5744016,Point(-83.93738 42.00255),25,http://www.wikidata.org/entity/Q1166,Herrick Medical Center
http://www.wikidata.org/entity/Q5759409,Point(-82.7673 37.72898),184,http://www.wikidata.org/entity/Q1603,Highlands Regional Medical Center
http://www.wikidata.org/entity/Q5762829,Point(-81.4346 41.5192),500,http://www.wikidata.org/entity/Q1397,Hillcrest Hospital
http://www.wikidata.org/entity/Q5874290,Point(-117.929 33.6239),652,http://www.wikidata.org/entity/Q99,Hoag Memorial Hospital Presbyterian
http://www.wikidata.org/entity/Q5882881,Point(-118.291 34.0958),434,http://www.wikidata.org/entity/Q99,Hollywood Presbyterian Medical Center
http://www.wikidata.org/entity/Q5886258,Point(-76.922 40.2537),311,http://www.wikidata.org/entity/Q961372,Holy Spirit Hospital
http://www.wikidata.org/entity/Q5908416,Point(-66.59399 18.03072),287,http://www.wikidata.org/entity/Q864024,Hospital Episcopal San Lucas
http://www.wikidata.org/entity/Q5908483,Point(-66.61063 18.00359),212,http://www.wikidata.org/entity/Q864024,Hospital Metropolitano Dr. Pila
http://www.wikidata.org/entity/Q5908522,Point(-66.5925 18.03224),86,http://www.wikidata.org/entity/Q864024,Hospital Oncológico Andrés Grillasca
http://www.wikidata.org/entity/Q5908680,Point(-66.617772 17.997133),331,http://www.wikidata.org/entity/Q864024,Hospital de Damas
http://www.wikidata.org/entity/Q5908726,Point(-73.954167 40.765278),205,http://www.wikidata.org/entity/Q11299,Hospital for Special Surgery
http://www.wikidata.org/entity/Q5908783,Point(-75.1936 39.95),776,http://www.wikidata.org/entity/Q1345,Hospital of the University of Pennsylvania
http://www.wikidata.org/entity/Q5154793,Point(-117.322 34.1316),343,http://www.wikidata.org/entity/Q108053,Community Hospital of San Bernardino
http://www.wikidata.org/entity/Q5154814,Point(-74.2157 39.9642),592,http://www.wikidata.org/entity/Q1408,Community Medical Center
http://www.wikidata.org/entity/Q5154815,Point(-114.048 46.847),146,http://www.wikidata.org/entity/Q1212,Community Medical Center
http://www.wikidata.org/entity/Q5154816,Point(-119.258 34.2744),242,http://www.wikidata.org/entity/Q108127,Community Memorial Hospital
http://www.wikidata.org/entity/Q5158813,Point(-71.562842 43.198564),295,http://www.wikidata.org/entity/Q759,Concord Hospital
http://www.wikidata.org/entity/Q5159600,Point(-73.9655 40.5854),371,http://www.wikidata.org/entity/Q18419,Coney Island Hospital
http://www.wikidata.org/entity/Q5167833,Point(-75.1167 39.9416),635,http://www.wikidata.org/entity/Q138367,Cooper University Hospital
http://www.wikidata.org/entity/Q5181056,Point(-104.978 39.6541),93,http://www.wikidata.org/entity/Q1261,Craig Hospital
http://www.wikidata.org/entity/Q5184022,Point(-95.954444 41.265278),391,http://www.wikidata.org/entity/Q1553,Creighton University Medical Center
http://www.wikidata.org/entity/Q5184671,Point(-86.5728 34.6943),180,http://www.wikidata.org/entity/Q173,Crestwood Medical Center
http://www.wikidata.org/entity/Q5214961,Point(-73.4447 41.4054),371,http://www.wikidata.org/entity/Q779,Danbury Hospital
http://www.wikidata.org/entity/Q5221383,Point(-79.4055 36.5778),250,http://www.wikidata.org/entity/Q1370,Danville Regional Medical Center
http://www.wikidata.org/entity/Q5234323,Point(-121.96377 38.26966),230,http://www.wikidata.org/entity/Q323432,David Grant USAF Medical Center
http://www.wikidata.org/entity/Q5243510,Point(-84.1688 39.7745),155,http://www.wikidata.org/entity/Q34739,Dayton Children's Hospital
http://www.wikidata.org/entity/Q5245052,Point(-117.426 47.6478),307,http://www.wikidata.org/entity/Q1223,Deaconess Medical Center
http://www.wikidata.org/entity/Q5259623,Point(-97.091 33.177),208,http://www.wikidata.org/entity/Q1439,Denton Regional Medical Center
http://www.wikidata.org/entity/Q5265994,Point(-83.05431 42.35366),273,http://www.wikidata.org/entity/Q12439,Detroit Receiving Hospital
http://www.wikidata.org/entity/Q5273727,Point(-88.04458333 45.80988889),49,http://www.wikidata.org/entity/Q567814,Dickinson County Healthcare System
http://www.wikidata.org/entity/Q5284886,Point(-113.554 37.1),245,http://www.wikidata.org/entity/Q52472,Dixie Regional Medical Center
http://www.wikidata.org/entity/Q5287550,Point(-82.0947 33.4864),350,http://www.wikidata.org/entity/Q181962,Doctors Hospital
http://www.wikidata.org/entity/Q5303133,Point(-118.13 33.9353),199,http://www.wikidata.org/entity/Q488946,Downey Regional Medical Center
http://www.wikidata.org/entity/Q5307798,Point(-97.3862 27.7484),162,http://www.wikidata.org/entity/Q49242,Driscoll Children's Hospital
http://www.wikidata.org/entity/Q5316022,Point(-77.9618 34.9644),101,http://www.wikidata.org/entity/Q1454,Duplin General Hospital
http://www.wikidata.org/entity/Q5316042,Point(-85.1097 41.1753),131,http://www.wikidata.org/entity/Q49268,Dupont Hospital
http://www.wikidata.org/entity/Q5323499,Point(-82.0973 41.3664),387,http://www.wikidata.org/entity/Q1397,EMH Regional Medical Center
http://www.wikidata.org/entity/Q5330450,Point(-76.0653 38.5408),76,http://www.wikidata.org/entity/Q1391,Eastern Shore Hospital Center
http://www.wikidata.org/entity/Q5330493,Point(-117.696 47.573),287,http://www.wikidata.org/entity/Q1223,Eastern State Hospital
http://www.wikidata.org/entity/Q5343508,Point(-88.1497 41.7611),309,http://www.wikidata.org/entity/Q1204,Edward Hospital
http://www.wikidata.org/entity/Q5354388,Point(-71.462648 41.744945),495,http://www.wikidata.org/entity/Q49197,Eleanor Slater Hospital
http://www.wikidata.org/entity/Q5365494,Point(-71.4375 42.984167),296,http://www.wikidata.org/entity/Q54439,Elliot Hospital
http://www.wikidata.org/entity/Q5369103,Point(-120.839 37.5122),354,http://www.wikidata.org/entity/Q99,Emanuel Medical Center
http://www.wikidata.org/entity/Q5375454,Point(-118.531929 34.170348),400,http://www.wikidata.org/entity/Q99,Encino-Tarzana Regional Medical Center
http://www.wikidata.org/entity/Q5375455,Point(-118.48664 34.15711),150,http://www.wikidata.org/entity/Q65,Encino Hospital Medical Center
http://www.wikidata.org/entity/Q5382311,Point(-84.7734 37.644),222,http://www.wikidata.org/entity/Q1603,Ephraim McDowell Regional Medical Center
http://www.wikidata.org/entity/Q5389738,Point(-85.28966 35.048176),813,http://www.wikidata.org/entity/Q1509,Erlanger Health System
http://www.wikidata.org/entity/Q5419993,Point(-105.09 39.7683),543,http://www.wikidata.org/entity/Q1261,Exempla Lutheran Medical Center
http://www.wikidata.org/entity/Q5419994,Point(-104.969 39.7454),365,http://www.wikidata.org/entity/Q1261,Exempla Saint Joseph Hospital
http://www.wikidata.org/entity/Q5432591,Point(-70.6219 41.5639),95,http://www.wikidata.org/entity/Q54089,Falmouth Hospital
http://www.wikidata.org/entity/Q5438132,Point(-71.1282 42.3008),162,http://www.wikidata.org/entity/Q771,Faulkner Hospital
http://www.wikidata.org/entity/Q5438731,Point(-82.098 26.9888),238,http://www.wikidata.org/entity/Q812,Fawcett Memorial Hospital
http://www.wikidata.org/entity/Q5450576,Point(-90.6867 42.4955),126,http://www.wikidata.org/entity/Q1546,Finley Hospital
http://www.wikidata.org/entity/Q4856920,Point(-120.662 40.4075),25,http://www.wikidata.org/entity/Q99,Banner Lassen Medical Center
http://www.wikidata.org/entity/Q4857639,Point(-81.6634342 30.315614),1101,http://www.wikidata.org/entity/Q486306,Baptist Health
http://www.wikidata.org/entity/Q4857645,Point(-86.8025 36.153889),683,http://www.wikidata.org/entity/Q23197,Saint Thomas Midtown Hospital
http://www.wikidata.org/entity/Q4857646,Point(-87.2311 30.4297),492,http://www.wikidata.org/entity/Q486306,Baptist Hospital
http://www.wikidata.org/entity/Q4857647,Point(-80.339542 25.685625),650,http://www.wikidata.org/entity/Q8652,Baptist Hospital of Miami
http://www.wikidata.org/entity/Q4857657,Point(-88.428 33.526),328,http://www.wikidata.org/entity/Q1494,Baptist Memorial Hospital-Golden Triangle
http://www.wikidata.org/entity/Q4857658,Point(-89.8614 35.1305),706,http://www.wikidata.org/entity/Q1509,Baptist Memorial Hospital-Memphis
http://www.wikidata.org/entity/Q4858714,Point(-83.10061 42.357444),123,http://www.wikidata.org/entity/Q12439,Barbara Ann Karmanos Cancer Institute
http://www.wikidata.org/entity/Q4861493,Point(-74.1441 40.9176),236,http://www.wikidata.org/entity/Q1408,Barnert Hospital
http://www.wikidata.org/entity/Q4861502,Point(-90.2643 38.6359),1252,http://www.wikidata.org/entity/Q38022,Barnes-Jewish Hospital
http://www.wikidata.org/entity/Q4861585,Point(-90.467938 38.67627),108,http://www.wikidata.org/entity/Q38022,Barnes–Jewish West County Hospital
http://www.wikidata.org/entity/Q4865030,Point(-117.019 34.8936),56,http://www.wikidata.org/entity/Q108053,Barstow Community Hospital
http://www.wikidata.org/entity/Q4866339,Point(-80.210625 25.791033),56,http://www.wikidata.org/entity/Q812,Bascom Palmer Eye Institute
http://www.wikidata.org/entity/Q4874053,Point(-83.479856 41.621116),72,http://www.wikidata.org/entity/Q615294,Bay Park Community Hospital
http://www.wikidata.org/entity/Q4874523,Point(-82.6433 27.7633),480,http://www.wikidata.org/entity/Q812,Bayfront Medical Center
http://www.wikidata.org/entity/Q4874615,Point(-96.7809 32.7903),1025,http://www.wikidata.org/entity/Q16557,Baylor University Medical Center at Dallas
http://www.wikidata.org/entity/Q4874798,Point(-74.1918 40.4058),225,http://www.wikidata.org/entity/Q1408,Bayshore Community Hospital
http://www.wikidata.org/entity/Q4884241,Point(-118.116 33.8729),85,http://www.wikidata.org/entity/Q104994,Bellwood General Hospital
http://www.wikidata.org/entity/Q4886546,Point(-95.3936 29.7108),586,http://www.wikidata.org/entity/Q1439,Ben Taub General Hospital
http://www.wikidata.org/entity/Q4892277,Point(-73.2492 42.4595),302,http://www.wikidata.org/entity/Q54165,Berkshire Medical Center
http://www.wikidata.org/entity/Q4897536,Point(-71.1094 42.3366),651,http://www.wikidata.org/entity/Q771,Beth Israel Deaconess Medical Center
http://www.wikidata.org/entity/Q4897982,Point(-93.103068 44.958297),142,http://www.wikidata.org/entity/Q28848,"Bethesda Hospital, St. Paul"
http://www.wikidata.org/entity/Q4919296,Point(-84.0492 41.91352),88,http://www.wikidata.org/entity/Q372304,Bixby Medical Center
http://www.wikidata.org/entity/Q4924815,Point(-83.6518 41.0174),150,http://www.wikidata.org/entity/Q1397,Blanchard Valley Health System
http://www.wikidata.org/entity/Q4929519,Point(-118.959 44.4173),25,http://www.wikidata.org/entity/Q824,Blue Mountain Hospital
http://www.wikidata.org/entity/Q4930891,Point(-73.8 41.074444),86,http://www.wikidata.org/entity/Q2362234,Blythedale Children's Hospital
http://www.wikidata.org/entity/Q4936104,Point(-80.102 26.3587),400,http://www.wikidata.org/entity/Q29422,Boca Raton Regional Hospital
http://www.wikidata.org/entity/Q4941003,Point(-76.2816 36.899),238,http://www.wikidata.org/entity/Q49231,Bon Secours DePaul Medical Center
http://www.wikidata.org/entity/Q4941011,Point(-76.6492 39.2883),69,http://www.wikidata.org/entity/Q5092,Bon Secours Hospital
http://www.wikidata.org/entity/Q4943635,Point(-92.315556 38.949167),394,http://www.wikidata.org/entity/Q1581,Boone Hospital Center
http://www.wikidata.org/entity/Q4943882,Point(-81.5518 41.5516),54,http://www.wikidata.org/entity/Q37320,Booth Memorial Hospital Cleveland
http://www.wikidata.org/entity/Q4947980,Point(-71.0735 42.3349),514,http://www.wikidata.org/entity/Q771,Boston Medical Center
http://www.wikidata.org/entity/Q4948059,Point(-71.0891 42.4518),187,http://www.wikidata.org/entity/Q54073,Boston Regional Medical Center
http://www.wikidata.org/entity/Q4948859,Point(-83.323778 42.446583),330,http://www.wikidata.org/entity/Q989919,Botsford Hospital
http://www.wikidata.org/entity/Q4949542,Point(-114.830833 35.979167),82,http://www.wikidata.org/entity/Q108403,Boulder City Hospital
http://www.wikidata.org/entity/Q4958118,Point(-72.5652 42.843),62,http://www.wikidata.org/entity/Q899813,Brattleboro Memorial Hospital
http://www.wikidata.org/entity/Q4966597,Point(-73.1664 41.1888),357,http://www.wikidata.org/entity/Q779,Bridgeport Hospital
http://www.wikidata.org/entity/Q4974053,Point(-85.5804 42.2847),405,http://www.wikidata.org/entity/Q1166,Bronson Methodist Hospital
http://www.wikidata.org/entity/Q4974388,Point(-73.9125 40.655),530,http://www.wikidata.org/entity/Q18419,Brookdale University Hospital and Medical Center
http://www.wikidata.org/entity/Q4975747,Point(-118.397 34.0228),420,http://www.wikidata.org/entity/Q104994,Brotman Medical Center
http://www.wikidata.org/entity/Q4975833,Point(-81.6729 35.7313),278,http://www.wikidata.org/entity/Q1454,Broughton Hospital
http://www.wikidata.org/entity/Q4980690,Point(-87.5383 33.2163),268,http://www.wikidata.org/entity/Q173,Bryce Hospital
http://www.wikidata.org/entity/Q4985466,Point(-95.221 42.645),35,http://www.wikidata.org/entity/Q1546,Buena Vista Regional Medical Center
http://www.wikidata.org/entity/Q4998956,Point(-73.752251 41.015543),150,http://www.wikidata.org/entity/Q54066,Burke Rehabilitation Hospital
http://www.wikidata.org/entity/Q5006213,Point(-83.72806 42.28217),348,http://www.wikidata.org/entity/Q485172,C.S. Mott Children's Hospital
http://www.wikidata.org/entity/Q5014772,Point(-73.471 44.7002),341,http://www.wikidata.org/entity/Q998669,CVPH Medical Center
http://www.wikidata.org/entity/Q5015353,Point(-82.4272 38.4094),303,http://www.wikidata.org/entity/Q241808,Cabell Huntington Hospital
http://www.wikidata.org/entity/Q5020617,Point(-118.265 34.0372),318,http://www.wikidata.org/entity/Q99,California Hospital Medical Center
http://www.wikidata.org/entity/Q5020739,Point(-122.431272 37.790632),785,http://www.wikidata.org/entity/Q62,California Pacific Medical Center
http://www.wikidata.org/entity/Q5024190,Point(-73.843853 40.847986),225,http://www.wikidata.org/entity/Q60,"Calvary Hospital, Bronx"
http://www.wikidata.org/entity/Q5024272,Point(-76.597 38.5592),74,http://www.wikidata.org/entity/Q1391,CalvertHealth Medical Center
http://www.wikidata.org/entity/Q5033409,Point(-80.1912 40.2469),104,http://www.wikidata.org/entity/Q1400,Canonsburg General Hospital
http://www.wikidata.org/entity/Q5034686,Point(-70.2717 41.6528),283,http://www.wikidata.org/entity/Q54089,Cape Cod Hospital
http://www.wikidata.org/entity/Q5035014,Point(-74.8169 39.0877),242,http://www.wikidata.org/entity/Q1408,Cape Regional Medical Center
http://www.wikidata.org/entity/Q5039558,Point(-80.507381 37.089622),146,http://www.wikidata.org/entity/Q1376400,Carilion New River Valley Medical Center
http://www.wikidata.org/entity/Q5039559,Point(-79.9425 37.2709),1035,http://www.wikidata.org/entity/Q1370,Carilion Roanoke Memorial Hospital
http://www.wikidata.org/entity/Q5041133,Point(-88.215 40.11694444),413,http://www.wikidata.org/entity/Q462184,Carle Foundation Hospital
http://www.wikidata.org/entity/Q5044034,Point(-71.0653 42.2774),159,http://www.wikidata.org/entity/Q771,Carney Hospital
http://www.wikidata.org/entity/Q5046581,Point(-76.9903 39.5583),146,http://www.wikidata.org/entity/Q1391,Carroll Hospital Center
http://www.wikidata.org/entity/Q5050184,Point(-157.757 21.3814),160,http://www.wikidata.org/entity/Q487704,Adventist Health Castle
http://www.wikidata.org/entity/Q5053195,Point(-71.475278 42.991389),330,http://www.wikidata.org/entity/Q54439,Catholic Medical Center
http://www.wikidata.org/entity/Q5059054,Point(-88.2786 42.3178),200,http://www.wikidata.org/entity/Q1204,Centegra Northern Illinois Medical Center
