,Hospital Name,Beds,City,State
92,Abington Hospital - Jefferson Health,638,Abington,PA
93,Abraham Lincoln Memorial Hospital,25,Lincoln,IL
94,Abrazo Arizona Heart Hospital,0,Phoenix,AZ
95,Abrazo Arrowhead Hospital,262,Glendale,AZ
96,Abrazo Central Campus,160,Phoenix,AZ
97,Abrazo Mesa Hospital,0,Mesa,AZ
98,Abrazo Scottsdale Campus,127,Phoenix,AZ
99,Abrazo West Campus,179,Goodyear,AZ
100,Abrom Kaplan Memorial Hospital,35,Kaplan,LA
101,Acadia Extended Care Hospital,0,Crowley,LA
102,Acadia General Hospital,140,Crowley,LA
103,Acadia-Saint Landry Hospital,25,Church Point,LA
104,Acadian Medical Center,52,Eunice,LA
105,Accel Rehabilitation Hospital of Plano,149,Plano,TX
106,Access Hospital Dayton,52,Dayton,OH
107,Acoma-Canoncito-Laguna Hospital,6,Acoma,NM
108,Acuity Specialty Hospital of Morgantown,0,Morgantown,WV
109,Acuity Specialty Hospital of New Jersey - Atlantic City,30,Atlantic City,NJ
110,Acuity Specialty Hospital of Ohio Valley,72,Belmont,OH
111,Acuity Specialty Hospital of Ohio Valley at Weirton,0,Weirton,WV
112,Acuity Specialty Hospital of Ohio Valley at Wheeling,0,Wheeling,WV
113,Acuity Specialty Hospital of Southern New Jersey,69,Willingboro,NJ
114,Adair County Memorial Hospital,25,Greenfield,IA
115,Adams County Regional Medical Center,25,Seaman,OH
116,Adams Memorial Hospital,25,Decatur,IN
117,AdCare Hospital,114,Worcester,MA
118,AdCare Rhode Island,0,North Kingstown,RI
119,Addison Gilbert Hospital,79,Gloucester,MA
120,Adena Greenfield Medical Center,25,Greenfield,OH
121,Adena Pike Medical Center,25,Waverly,OH
122,Adena Regional Medical Center,189,Chillicothe,OH
123,Adirondack Medical Center at Saranac Lake,155,Saranac Lake,NY
124,Administrative Medical Services,68,San Juan,PR
125,Advanced Care Hospital of Montana,40,Billings,MT
126,Advanced Care Hospital of Southern New Mexico,20,Las Cruces,NM
127,Advanced Care Hospital of White County,27,Searcy,AR
128,Advanced Diagnostics Hospitals and Clinics,4,Houston,TX
129,Advanced Specialty Hospital of Toledo,40,Toledo,OH
130,Advanced Surgical Hospital,14,Washington,PA
131,AdventHealth Altamonte Springs,0,Altamonte Springs,FL
132,AdventHealth Apopka,0,Apopka,FL
133,AdventHealth Carrollwood,103,Tampa,FL
134,AdventHealth Celebration,0,Celebration,FL
135,AdventHealth Central Texas,208,Killeen,TX
136,AdventHealth Connerton,50,Land O Lakes,FL
137,AdventHealth Dade City,120,Dade City,FL
138,AdventHealth Daytona Beach,0,Daytona Beach,FL
139,AdventHealth DeLand,164,DeLand,FL
140,AdventHealth Durand,25,Durand,WI
141,AdventHealth East Orlando,0,Orlando,FL
142,AdventHealth Fish Memorial,179,Orange City,FL
143,AdventHealth Gordon,69,Calhoun,GA
144,AdventHealth Heart of Florida,193,Davenport,FL
145,AdventHealth Hendersonville,98,Hendersonville,NC
146,AdventHealth Kissimmee,0,Kissimmee,FL
147,AdventHealth Lake Placid,0,Lake Placid,FL
148,AdventHealth Lake Wales,131,Lake Wales,FL
149,AdventHealth Manchester,49,Manchester,KY
150,AdventHealth Murray,29,Chatsworth,GA
151,AdventHealth New Smyrna Beach,112,New Smyrna Beach,FL
152,AdventHealth North Pinellas,168,Tarpon Springs,FL
153,AdventHealth Ocala,413,Ocala,FL
154,AdventHealth Orlando,2826,Orlando,FL
155,AdventHealth Ottawa,47,Ottawa,KS
156,AdventHealth Palm Coast,99,Palm Coast,FL
157,AdventHealth Pepin Heart Institute,0,Tampa,FL
158,AdventHealth Rollins Brook,25,Lampasas,TX
159,AdventHealth Sebring,197,Sebring,FL
160,AdventHealth Shawnee Mission,365,Shawnee Mission,KS
161,AdventHealth Tampa,536,Tampa,FL
162,AdventHealth Waterman,269,Tavares,FL
163,AdventHealth Wauchula,25,Wauchula,FL
164,AdventHealth Wesley Chapel,145,Wesley Chapel,FL
165,AdventHealth Winter Park,0,Winter Park,FL
166,AdventHealth Zephyrhills,149,Zephyrhills,FL
167,Adventist Health and Rideout,209,Marysville,CA
168,Adventist Health Bakersfield,254,Bakersfield,CA
169,Adventist Health Castle,160,Kailua,HI
170,Adventist Health Clear Lake,25,Clearlake,CA
171,Adventist Health Glendale,451,Glendale,CA
172,Adventist Health Hanford,230,Hanford,CA
173,Adventist Health Howard Memorial,25,Willits,CA
174,Adventist Health Lodi Memorial,190,Lodi,CA
175,Adventist Health Reedley,49,Reedley,CA
176,Adventist Health Saint Helena,130,Saint Helena,CA
177,Adventist Health Selma,0,Selma,CA
178,Adventist Health Sonora,152,Sonora,CA
179,Adventist Health Tehachapi Valley,20,Tehachapi,CA
180,Adventist Health Tillamook Regional Medical Center,25,Tillamook,OR
181,Adventist Health Tulare,108,Tulare,CA
182,Adventist Health Vallejo,0,Vallejo,CA
183,Adventist Health White Memorial,353,Los Angeles,CA
184,Adventist HealthCare Rehabilitation,89,Rockville,MD
185,Adventist HealthCare Shady Grove Medical Center,338,Rockville,MD
186,Adventist HealthCare Shady Grove Medical Center - Mental Health,117,Rockville,MD
187,Adventist HealthCare Takoma Park,198,Takoma Park,MD
188,Adventist HealthCare White Oak Medical Center,0,Silver Spring,MD
189,Adventist Medical Center,211,Portland,OR
190,Adventist Rehabilitation Hospital of Maryland Takoma Park,0,Takoma Park,MD
191,Advocate BroMenn Regional Medical Center,221,Normal,IL
192,Advocate Christ Medical Center,777,Oak Lawn,IL
193,Advocate Condell Medical Center,273,Libertyville,IL
194,Advocate Eureka Hospital,25,Eureka,IL
195,Advocate Good Samaritan Hospital,284,Downers Grove,IL
196,Advocate Good Shepherd Hospital,176,Barrington,IL
197,Advocate Illinois Masonic Medical Center,311,Chicago,IL
198,Advocate Lutheran General Hospital,629,Park Ridge,IL
199,Advocate Sherman Hospital,255,Elgin,IL
200,Advocate South Suburban Hospital,233,Hazel Crest,IL
201,Advocate Trinity Hospital,201,Chicago,IL
202,AHMC Anaheim Regional Medical Center,223,Anaheim,CA
203,AHN Grove City,77,Grove City,PA
204,Aiken Regional Medical Centers,266,Aiken,SC
205,Akron Children's Hospital,402,Akron,OH
206,Akron General Lodi Hospital,20,Lodi,OH
207,Alamance Regional Medical Center,212,Burlington,NC
208,Alameda Hospital,215,Alameda,CA
209,Alaska Native Medical Center,174,Anchorage,AK
210,Alaska Psychiatric Institute,80,Anchorage,AK
211,Alaska Regional Hospital,174,Anchorage,AK
212,Albany Medical Center,793,Albany,NY
213,Albany Stratton VA Medical Center,0,Albany,NY
214,Albert J. Solnit Psychiatric Center - South Campus,0,Middletown,CT
215,Aleda E. Lutz VA Medical Center,0,Saginaw,MI
216,Alexandria VA Health Care System,0,Pineville,LA
217,Alfred I. duPont Hospital for Children & Nemours Children's Clinic,208,Wilmington,DE
218,Alhambra Hospital Medical Center,144,Alhambra,CA
219,Alice Peck Day Memorial Hospital,24,Lebanon,NH
220,Allegan General Hospital,25,Allegan,MI
221,Alleghany Memorial Hospital,25,Sparta,NC
222,Allegheny General Hospital,552,Pittsburgh,PA
223,Allegheny Valley Hospital,200,Natrona Heights,PA
224,Allegiance Behavioral Health Center Of Plainview,20,Plainview,TX
225,Allegiance Behavioral Health Center of Ruston,28,Ruston,LA
226,Allegiance Specialty Hospital of Greenville,39,Greenville,MS
227,Allen County Regional Hospital,25,Iola,KS
228,Allen Parish Community Healthcare,49,Kinder,LA
229,Allendale County Hospital,69,Fairfax,SC
230,Alliance Community Hospital,145,Alliance,OH
231,Alliance Health Center,154,Meridian,MS
232,Alliance Hospital,40,Holly Springs,MS
233,AllianceHealth Clinton,56,Clinton,OK
234,AllianceHealth Durant,140,Durant,OK
235,AllianceHealth Madill,21,Madill,OK
236,AllianceHealth Midwest,255,Midwest City,OK
237,AllianceHealth Ponca City,48,Ponca City,OK
238,AllianceHealth Seminole,32,Seminole,OK
239,AllianceHealth Woodward,40,Woodward,OK
240,Allied Rehab Hospital,137,Scranton,PA
241,Alomere Health,99,Alexandria,MN
242,Alta Bates Summit Medical Center,354,Oakland,CA
243,Alta Bates Summit Medical Center Herrick Campus,0,Berkeley,CA
244,Alta Bates Summit Medical Center Alta Bates Campus,401,Berkeley,CA
245,Alta View Hospital,58,Sandy,UT
246,Alta Vista Regional Hospital,46,Las Vegas,NM
247,Alton Memorial Hospital,152,Alton,IL
248,Alton Mental Health Center,24,Alton,IL
249,Altru Hospital,294,Grand Forks,ND
250,Altru Specialty Center,0,Grand Forks,ND
251,Altus Baytown Hospital,14,Baytown,TX
252,Altus Hospital Houston,0,Houston,TX
253,Alvarado Hospital Medical Center,304,San Diego,CA
254,Alvarado Parkway Institute,66,La Mesa,CA
255,American Family Children's Hospital,0,Madison,WI
256,American Fork Hospital,91,American Fork,UT
257,Amery Hospital & Clinic,35,Amery,WI
258,AMG Physical Rehabilitation Hospital,24,Covington,LA
259,AMG Specialty Hospital - Albuquerque,25,Albuquerque,NM
260,AMG Specialty Hospital - Houma,40,Houma,LA
261,AMG Specialty Hospital - Lafayette,18,Lafayette,LA
262,AMG Specialty Hospital - Las Vegas,24,Las Vegas,NV
263,AMG Specialty Hospital - Mercy,18,Okahoma City,OK
264,AMG Specialty Hospital - Muncie,32,Muncie,IN
265,AMG Specialty Hospital - Zachary,16,Zachary,LA
266,AMG Specialty Hospital Central Indiana - Hancock,0,Greenfield,IN
267,AMITA Health Adventist GlenOaks Hospital,138,Glendale Heights,IL
268,AMITA Health Adventist Medical Center Bolingbrook,134,Bolingbrook,IL
269,AMITA Health Adventist Medical Center Hinsdale,261,Hinsdale,IL
270,AMITA Health Adventist Medical Center La Grange,176,La Grange,IL
271,AMITA Health Alexian Brothers Behavioral Health Hospital Hoffman Estates,141,Hoffman Estates,IL
272,AMITA Health Alexian Brothers Medical Center Elk Grove Village,354,Elk Grove Village,IL
273,AMITA Health Alexian Brothers Rehabilitation Hospital Elk Grove Village,0,Elk Grove Village,IL
274,AMITA Health Alexian Brothers Women and Children's Hospital Hoffman Estates,0,Hoffman Estates,IL
275,AMITA Health Holy Family Medical Center Des Plaines,128,Des Plaines,IL
276,AMITA Health Mercy Medical Center Aurora,256,Aurora,IL
277,AMITA Health Resurrection Medical Center Chicago,274,Chicago,IL
278,AMITA Health Saint Francis Hospital Evanston,181,Evanston,IL
279,AMITA Health Saint Joseph Hospital Chicago,313,Chicago,IL
280,AMITA Health Saint Joseph Hospital Elgin,184,Elgin,IL
281,AMITA Health Saint Joseph Medical Center Joliet,424,Joliet,IL
282,AMITA Health Saints Mary and Elizabeth Medical Center Saint Elizabeth Campus,219,Chicago,IL
283,AMITA Health Saints Mary and Elizabeth Medical Center Saint Mary Campus,429,Chicago,IL
284,AMITA Health St. Alexius Medical Center Hoffman Estates,318,Hoffman Estates,IL
285,AMITA Health St. Marys Hospital Kankakee,169,Kankakee,IL
286,Anaheim Global Medical Center,183,Anaheim,CA
287,Anaheim Medical Center,484,Anaheim,CA
288,Anchor Hospital,172,Atlanta,GA
289,Ancora Psychiatric Hospital,515,Ancora,NJ
290,Andalusia Health,83,Andalusia,AL
291,Anderson County Hospital,12,Garnett,KS
292,Anderson Hospital,154,Maryville,IL
293,Anderson Regional Medical Center North,260,Meridian,MS
294,Anderson Regional Medical Center South,69,Meridian,MS
295,Androscoggin Valley Hospital,25,Berlin,NH
296,Angel Medical Center,25,Franklin,NC
297,Animas Surgical Hospital,12,Durango,CO
298,AnMed Health Cannon,42,Pickens,SC
299,AnMed Health Medical Center,396,Anderson,SC
300,AnMed Health North Campus,0,Anderson,SC
301,AnMed Health Rehabilitation Hospital,60,Anderson,SC
302,Ann & Robert H. Lurie Children's Hospital of Chicago,312,Chicago,IL
303,Ann Klein Forensic Center,200,West Trenton,NJ
304,Anna Jaques Hospital,140,Newburyport,MA
305,Anne Arundel Medical Center,379,Annapolis,MD
306,Annie Jeffrey Memorial County Health Center,16,Osceola,NE
307,Anoka-Metro Regional Treatment Center,110,Anoka,MN
308,Anson General Hospital,7,Anson,TX
309,Antelope Memorial Hospital,23,Neligh,NE
310,Antelope Valley Hospital,393,Lancaster,CA
311,Antioch Medical Center,138,Antioch,CA
312,"Apalachee Center, Inc.",46,Tallahassee,FL
313,Apollo Behavioral Health Hospital,18,Baton Rouge,LA
314,Appalachian Behavioral Healthcare - Athens Campus,92,Athens,OH
315,Appleton Area Health Services,65,Appleton,MN
316,Appling Hospital,165,Baxley,GA
317,Arbor Health Morton Hospital,25,Morton,WA
318,Arbour Hospital,136,Jamacia Plain,MA
319,Arbuckle Memorial Hospital,25,Sulphur,OK
320,Archbold Medical Center,328,Thomasville,GA
321,ArchCare at Terence Cardinal Cooke Health Care Center,615,New York,NY
322,Arden Wood,13,San Francisco,CA
323,ARH Our Lady of the Way,25,Martin,KY
324,Arise Austin Medical Center,21,Austin,TX
325,Arizona Specialty Hospital,24,Chandler,AZ
326,Arizona Spine and Joint Hospital,23,Mesa,AZ
327,Arizona State Hospital,159,Phoenix,AZ
328,Arkansas Children's Hospital,336,Little Rock,AR
329,Arkansas Children's Northwest,24,Springdale,AR
330,Arkansas Continued Care Hospital of Jonesboro,44,Jonesboro,AR
331,Arkansas Heart Hospital,112,Little Rock,AR
332,Arkansas Methodist Medical Center,129,Paragould,AR
333,Arkansas State Hospital,230,Little Rock,AR
334,Arkansas Surgical Hospital,49,North Little Rock,AR
335,Arkansas Valley Regional Medical Center,552,La Junta,CO
336,Arms Acres,0,Carmel,NY
337,Armstrong County Memorial Hospital,164,Kittanning,PA
338,Arnold Palmer Hospital for Children,0,Orlando,FL
339,Arnot Ogden Medical Center,225,Elmira,NY
340,Arrowhead Behavioral Health,48,Maumee,OH
341,Arrowhead Regional Medical Center,456,Colton,CA
342,Arroyo Grande Community Hospital,67,Arroyo Grande,CA
343,Artesia General Hospital,49,Artesia,NM
344,Asante Ashland Community Hospital,38,Ashland,OR
345,Asante Rogue Regional Medical Center,337,Medford,OR
346,Asante Three Rivers Medical Center,121,Grants Pass,OR
347,Ascension All Saints Hospital - Spring Street Campus,263,Racine,WI
348,Ascension All Saints Hospital Wisconsin Avenue Campus,175,Racine,WI
349,Ascension Borgess Hospital,371,Kalamazoo,MI
350,Ascension Borgess-Lee Hospital,25,Dowagiac,MI
351,Ascension Borgess-Pipp Hospital,43,Plainwell,MI
352,Ascension Brighton Center for Recovery,99,Brighton,MI
353,Ascension Calumet Hospital,25,Chilton,WI
354,Ascension Columbia Saint Mary's Hospital Milwaukee,263,Milwaukee,WI
355,Ascension Eagle River Memorial Hospital,14,Eagle River,WI
356,Ascension Genesys Hospital,370,Grand Blanc,MI
357,Ascension Good Samaritan Hospital,25,Merrill,WI
358,Ascension Jane Phillips Medical Center,114,Bartlesville,OK
359,Ascension Jane Phillips Nowata Health Center,25,Nowata,OK
360,Ascension Macomb - Oakland Hospital Warren Campus,507,Warren,MI
361,"Ascension Macomb-Oakland Hospital, Madison Heights Campus",159,Madison Heights,MI
362,Ascension North East Wisconsin - Mercy Campus,110,Oshkosh,WI
363,Ascension Northeast Wisconsin Saint Elizabeth Campus,308,Appleton,WI
364,Ascension Providence,271,Waco,TX
365,Ascension Providence DePaul Center,64,Waco,TX
366,Ascension Providence Hospital Novi Campus,0,Novi,MI
367,"Ascension Providence Hospital, Southfield Campus",583,Southfield,MI
368,Ascension Providence Rochester Hospital,224,Rochester,MI
369,Ascension River District Hospital,65,East China Township,MI
370,Ascension Sacred Heart Hospital,15,Tomahawk,WI
371,Ascension Sacred Heart Hospital on the Emerald Coast,62,Miramar Beach,FL
372,Ascension Sacred Heart Hospital on the Gulf,19,Port Saint Joe,FL
373,Ascension Sacred Heart Hospital Pensacola,561,Pensacola,FL
374,Ascension Sacred Heart Rehabilitation Institute,49,Milwaukee,WI
375,Ascension Saint Clare's Hospital,99,Weston,WI
376,Ascension Saint John Owasso,32,Owasso,OK
377,Ascension Saint John Sapulpa,25,Sapulpa,OK
378,Ascension Saint Mary's Hospital,63,Rhinelander,WI
379,Ascension Saint Thomas Highlands Hospital,46,Sparta,TN
380,Ascension Saint Thomas Stones River Hospital,52,Woodbury,TN
381,Ascension Saint Thomas West,340,Nashville,TN
382,Ascension Saint Vincent Carmel,153,Carmel,IN
383,Ascension Saint Vincent Clay,25,Brazil,IN
384,Ascension Saint Vincent Evansville,438,Evansville,IN
385,Ascension Saint Vincent Indianapolis Hospital,825,Indianapolis,IN
386,Ascension Saint Vincent Stress Center,0,Indianapolis,IN
387,Ascension SE Wisconsin Hospital Franklin Campus,44,Franklin,WI
388,Ascension SE Wisconsin Hospital-Elmbrook Campus,108,Brookfield,WI
389,Ascension SE Wisconsin Hospital-St. Joseph Campus,334,Milwaukee,WI
390,Ascension Seton Edgar B. Davis,23,Luling,TX
391,Ascension Seton Hays,142,Kyle,TX
392,Ascension Seton Highland Lakes,25,Burnet,TX
393,Ascension Seton Medical Center Austin,430,Austin,TX
394,Ascension Seton Northwest,106,Austin,TX
395,Ascension Seton Shoal Creek,94,Austin,TX
396,Ascension Seton Smithville,8,Smithville,TX
397,Ascension Seton Southwest,28,Austin,TX
398,Ascension Seton Williamson,119,Round Rock,TX
399,Ascension St. Francis Hospital,153,Milwaukee,WI
400,Ascension St. Joseph Hospital,47,Tawas City,MI
401,Ascension St. Mary's Hospital,204,Saginaw,MI
402,Ascension St. Vincent Carmel,107,Carmel,IN
403,Ascension St. Vincent Dunn,25,Bedford,IN
404,Ascension St. Vincent Jennings,25,North Vernon,IN
405,Ascension St. Vincent Kokomo,129,Kokomo,IN
406,Ascension St. Vincent Mercy,25,Elwood,IN
407,Ascension St. Vincent Randolph,25,Winchester,IN
408,Ascension St. Vincent Salem,25,Salem,IN
409,Ascension St. Vincent Warrick,35,Boonville,IN
410,Ascension St. Vincent Williamsport,16,Williamsport,IN
411,Ascension St. Vincent's Clay County Hospital,106,Middleburg,FL
412,Ascension St. Vincent's Riverside Hospital,479,Jacksonville,FL
413,Ascension St. Vincent's Southside Hospital,260,Jacksonville,FL
414,Ascension Standish Hospital,54,Standish,MI
415,Ascension Via Christi Behavioral Health Center,0,Wichita,KS
416,Ascension Via Christi Hospital in Manhattan,94,Manhattan,KS
417,Ascension Via Christi Hospital in Pittsburg,78,Pittsburg,KS
418,Ascension Via Christi Rehabilitation Hospital,58,Wichita,KS
419,Ascension Via Christi St. Francis,658,Wichita,KS
420,Ascension Via Christi St. Joseph,0,Wichita,KS
421,Ascension Via Christi St. Teresa,57,Wichita,KS
422,Ashe Memorial Hospital,25,Jefferson,NC
423,Asheville Specialty Hospital,34,Asheville,NC
424,Ashford Presbyterian Community Hospital,175,San Juan,PR
425,Ashland Health Center,25,Ashland,KS
426,Ashley County Medical Center,35,Crossett,AR
427,Ashley Medical Center,60,Ashley,ND
428,Ashley Regional Medical Center,39,Vernal,UT
429,Ashtabula County Medical Center,137,Ashtabula,OH
430,Aspen Mountain Medical Center,0,Rock Springs,WY
431,Aspen Valley Hospital,25,Aspen,CO
432,Aspire Health Partners -Princeton Plaza,90,Orlando,FL
433,Aspire Hospital,30,Conroe,TX
434,Aspirus Iron River Hospital,25,Iron River,MI
435,Aspirus Ironwood Hospital,25,Ironwood,MI
436,Aspirus Keweenaw Hospital,25,Laurium,MI
437,Aspirus Langlade Hospital,25,Antigo,WI
438,Aspirus Medford Hospital,103,Medford,WI
439,Aspirus Ontonagon Hospital,71,Ontonagon,MI
440,Aspirus Riverview Hospital,45,Wisconsin Rapids,WI
441,Aspirus Wausau Hospital,235,Wausau,WI
442,Assumption Community Hospital,15,Napoleonville,LA
443,Assurance Health Cincinnati,42,Cincinnati,OH
444,Assurance Health Hudson,23,Hudson,OH
445,Assurance Health Indianapolis,23,Indianapolis,IN
446,Assurance Health Wilmington,0,Wilmington,OH
447,Astria Sunnyside Hospital,25,Sunnyside,WA
448,Astria Toppenish Hospital,25,Toppenish,WA
449,Atchison Hospital,25,Atchison,KS
450,Athens-Limestone Hospital,66,Athens,AL
451,Athol Memorial Hospital,25,Athol,MA
452,Atlanta VA Medical Center,0,Decatur,GA
453,Atlantic General Hospital,48,Berlin,MD
454,Atlantic Rehabilitation Institute,0,Madison,NJ
455,AtlantiCare Regional Medical Center - Mainland Campus,0,Pomona,NJ
456,AtlantiCare Regional Medical Center -Atlantic City Campus,540,Atlantic City,NJ
457,Atmore Community Hospital,49,Atmore,AL
458,Atoka County Medical Center,25,Atoka,OK
459,Atrium Health Anson,15,Wadesboro,NC
460,Atrium Health Behavioral Health Charlotte,0,Charlotte,NC
461,Atrium Health Cabarrus,457,Concord,NC
462,Atrium Health Cleveland,241,Shelby,NC
463,Atrium Health Kings Mountain,62,Kings Mountain,NC
464,Atrium Health Lincoln,101,Lincolnton,NC
465,Atrium Health Mercy,0,Charlotte,NC
466,Atrium Health Pineville,250,Charlotte,NC
467,Atrium Health Stanly,109,Albemarle,NC
468,Atrium Health Union,252,Monroe,NC
469,Atrium Health University City,100,Charlotte,NC
470,Atrium Medical Center,18,Denton,TX
471,Atrium Medical Center,68,Stafford,TX
472,Atrium Medical Center,267,Middletown,OH
473,Auburn Community Hospital,179,Auburn,NY
474,Audie L. Murphy Memorial VA Hospital,0,San Antonio,TX
475,Audubon County Memorial Hospital,25,Audubon,IA
476,Augusta Health,242,Fishersville,VA
477,Augusta University Medical Center,466,Augusta,GA
478,Aultman Hospital,512,Canton,OH
479,Aultman Orrville Hospital,25,Orrville,OH
480,Aultman Specialty Hospital,30,Canton,OH
481,Aurora BayCare Medical Center,167,Green Bay,WI
482,Aurora Behavioral Health Care San Diego,80,San Diego,CA
483,Aurora Charter Oak Hospital,134,Covina,CA
484,Aurora Lakeland Medical Center,64,Elkhorn,WI
485,Aurora Medical Center Grafton,126,Grafton,WI
486,Aurora Medical Center in Burlington,55,Burlington,WI
487,Aurora Medical Center in Summit,91,Summit,WI
488,Aurora Medical Center Kenosha,74,Kenosha,WI
489,Aurora Medical Center Manitowoc County,69,Two Rivers,WI
490,Aurora Medical Center Oshkosh,72,Oshkosh,WI
491,Aurora Medical Center Washington County,35,Hartford,WI
492,Aurora Medical Center-Bay Area,55,Marinette,WI
493,Aurora Psychiatric Hospital,94,Wauwatosa,WI
494,Aurora Saint Luke's Medical Center,933,Milwaukee,WI
495,Aurora Saint Luke's South Shore,0,Cudahy,WI
