"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
HHS Regions,Region 9,2011,5,1245,35.743,114,0,173,53,0,105,0
HHS Regions,Region 5,2011,6,1247,40.7378,163,0,129,83,0,133,0
HHS Regions,Region 9,2011,6,1400,36.6429,162,0,173,76,0,102,0
HHS Regions,Region 5,2011,7,1415,34.9823,144,0,142,68,0,141,0
HHS Regions,Region 9,2011,7,1570,40.8917,259,0,168,102,0,113,0
HHS Regions,Region 5,2011,8,1357,35.0037,131,0,139,51,0,154,0
HHS Regions,Region 9,2011,8,1408,35.8665,211,0,127,81,0,86,0
HHS Regions,Region 5,2011,9,1287,35.6643,135,0,158,48,0,118,0
HHS Regions,Region 9,2011,9,1346,32.3923,194,0,102,82,0,58,0
HHS Regions,Region 5,2011,10,1184,31.25,69,0,166,35,0,100,0
HHS Regions,Region 9,2011,10,1165,30.4721,160,0,77,59,0,59,0
HHS Regions,Region 5,2011,11,1052,31.5589,69,0,152,27,0,84,0
HHS Regions,Region 9,2011,11,865,22.1965,72,0,51,28,0,41,0
HHS Regions,Region 5,2011,12,945,22.1164,30,0,104,12,0,63,0
HHS Regions,Region 9,2011,12,724,15.4696,39,0,31,17,0,25,0
HHS Regions,Region 5,2011,13,790,20.7595,23,0,80,11,0,50,0
HHS Regions,Region 9,2011,13,697,12.3386,41,0,23,4,0,18,0
HHS Regions,Region 5,2011,14,736,17.9348,9,0,74,7,0,42,0
HHS Regions,Region 9,2011,14,624,7.69231,13,0,15,2,0,18,0
HHS Regions,Region 5,2011,15,643,13.6858,4,0,49,1,0,34,0
HHS Regions,Region 9,2011,15,579,5.69948,9,0,12,1,0,11,0
HHS Regions,Region 5,2011,16,503,8.74751,0,0,28,4,0,12,0
HHS Regions,Region 9,2011,16,498,3.01205,3,0,2,2,0,8,0
HHS Regions,Region 5,2011,17,422,5.92417,1,0,2,2,0,20,0
HHS Regions,Region 9,2011,17,406,2.95567,2,0,3,1,0,6,0
HHS Regions,Region 5,2011,18,398,4.0201,1,0,6,2,0,7,0
HHS Regions,Region 9,2011,18,322,0.310559,0,0,0,0,0,1,0
HHS Regions,Region 5,2011,19,382,2.35602,0,0,5,0,0,4,0
HHS Regions,Region 9,2011,19,355,0.56338,1,0,0,0,0,1,0
HHS Regions,Region 5,2011,20,340,1.76471,0,0,1,0,0,5,0
HHS Regions,Region 9,2011,20,288,1.73611,0,0,2,1,0,2,0
HHS Regions,Region 5,2011,21,244,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,21,277,1.80505,1,0,0,0,0,4,0
HHS Regions,Region 5,2011,22,225,0.444444,0,0,0,0,0,1,0
HHS Regions,Region 9,2011,22,231,0.865801,0,0,0,0,0,2,0
HHS Regions,Region 5,2011,23,221,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,23,244,0.819672,0,0,0,0,0,2,0
HHS Regions,Region 5,2011,24,182,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,24,226,0,0,0,0,0,0,0,0
HHS Regions,Region 5,2011,25,199,1.00503,0,0,0,2,0,0,0
HHS Regions,Region 9,2011,25,215,0,0,0,0,0,0,0,0
HHS Regions,Region 5,2011,26,162,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,26,178,1.1236,2,0,0,0,0,0,0
HHS Regions,Region 5,2011,27,150,0.666667,0,0,0,1,0,0,0
HHS Regions,Region 9,2011,27,149,0.671141,0,0,1,0,0,0,0
HHS Regions,Region 5,2011,28,161,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,28,127,0.787402,0,0,1,0,0,0,0
HHS Regions,Region 5,2011,29,135,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,29,184,0.543478,0,0,0,0,0,1,0
HHS Regions,Region 5,2011,30,131,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,30,129,0,0,0,0,0,0,0,0
HHS Regions,Region 5,2011,31,148,0.675676,1,0,0,0,0,0,0
HHS Regions,Region 9,2011,31,154,3.24675,2,0,2,0,0,1,0
HHS Regions,Region 5,2011,32,162,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,32,118,0.847458,1,0,0,0,0,0,0
HHS Regions,Region 5,2011,33,184,1.08696,0,0,0,1,0,1,0
HHS Regions,Region 9,2011,33,157,3.18471,1,0,3,0,0,1,0
HHS Regions,Region 5,2011,34,155,1.29032,0,0,0,0,0,2,0
HHS Regions,Region 9,2011,34,164,1.21951,0,0,0,0,0,2,0
HHS Regions,Region 5,2011,35,158,1.26582,1,0,1,0,0,0,0
HHS Regions,Region 9,2011,35,177,1.12994,1,0,1,0,0,0,0
HHS Regions,Region 5,2011,36,133,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2011,36,177,2.25989,1,0,1,0,0,2,0
HHS Regions,Region 5,2011,37,153,0.653595,0,0,1,0,0,0,0
HHS Regions,Region 9,2011,37,173,0.578035,0,0,0,0,0,1,0
HHS Regions,Region 5,2011,38,260,0.769231,0,0,1,0,0,1,0
HHS Regions,Region 9,2011,38,202,0.49505,0,0,0,0,0,1,0
HHS Regions,Region 5,2011,39,219,0.456621,0,0,1,0,0,0,0
HHS Regions,Region 9,2011,39,224,1.78571,0,0,3,0,0,1,0
